FilePath,Severity,ControlName,FailedResources,AllResources,ComplianceScore
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kanister/bundle.yaml,High,Applications credentials in configuration files,0,6,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kanister/bundle.yaml,Medium,Cluster internal networking,3,11,72.73
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kanister/bundle.yaml,High,Secret/etcd encryption enabled,2,10,80.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kanister/._bundle.yaml,High,Applications credentials in configuration files,5,6,16.67
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kanister/._bundle.yaml,Medium,Cluster internal networking,2,20,90.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kanister/._bundle.yaml,High,Secret/etcd encryption enabled,1,16,93.75
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise-openshift.yaml,High,Applications credentials in configuration files,0,3,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise-openshift.yaml,Medium,Cluster internal networking,3,9,66.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise-openshift.yaml,High,Secret/etcd encryption enabled,19,19,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise-openshift.yaml,High,Applications credentials in configuration files,1,3,66.67
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise-openshift.yaml,Medium,Cluster internal networking,13,20,35.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise-openshift.yaml,High,Secret/etcd encryption enabled,7,10,30.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise.yaml,High,Applications credentials in configuration files,0,11,100.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise.yaml,Medium,Cluster internal networking,6,8,25.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise.yaml,High,Secret/etcd encryption enabled,4,13,69.23
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise.yaml,High,Applications credentials in configuration files,3,7,57.14
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise.yaml,Medium,Cluster internal networking,1,13,92.31
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise.yaml,High,Secret/etcd encryption enabled,3,5,40.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise-multi-cluster.yaml,High,Applications credentials in configuration files,2,6,66.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise-multi-cluster.yaml,Medium,Cluster internal networking,9,14,35.71
/tmp/kubescape_1itf8sji/YAMLfiles/repos/mongodb-enterprise-kubernetes/mongodb-enterprise-multi-cluster.yaml,High,Secret/etcd encryption enabled,0,11,100.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise-multi-cluster.yaml,High,Applications credentials in configuration files,17,17,0.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise-multi-cluster.yaml,Medium,Cluster internal networking,3,6,50.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/mongodb-enterprise-kubernetes/._mongodb-enterprise-multi-cluster.yaml,High,Secret/etcd encryption enabled,4,5,20.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeshark/manifests/complete.yaml,High,Applications credentials in configuration files,10,12,16.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeshark/manifests/complete.yaml,Medium,Cluster internal networking,9,14,35.71
/tmp/kubescape_1itf8sji/YAMLfiles/repos/kubeshark/manifests/complete.yaml,High,Secret/etcd encryption enabled,1,9,88.89
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeshark/manifests/._complete.yaml,High,Applications credentials in configuration files,1,4,75.0
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeshark/manifests/._complete.yaml,Medium,Cluster internal networking,1,12,91.67
/tmp/kubescape_1itf8sji/__MACOSX/YAMLfiles/repos/kubeshark/manifests/._complete.yaml,High,Secret/etcd encryption enabled,1,10,90.0
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasses-viewer.yaml,High,Applications credentials in configuration files,8,15,46.67
/tmp/kubescape_1itf8sji/YAMLfiles/repos/secrets-store-csi-driver/deploy/role-secretproviderclasses-viewer.yaml,Medium,Cluster internal networking,11,17,35.29
